Pop,Population,trait,raw_means,raw_means_se,fam_means,quercus_means,Va,Va Var-covar,Va SE,Z score,lower 95% CI,upper 95% CI,,Env,Mat,Vp,h^2
AC,AC 2022 G1,est_fit,30.47,2.70,25.37,25.24,143.53,41006.71,202.50,0.71,-253.37,540.44,not significant,955.60,23.23,1122.37,0.13
AC,AC 2022 G1,corolla_diam,20.53,0.05,20.52,20.53,1.77,180.77,13.45,0.13,-24.58,28.12,not significant,5.27,0.37,7.40,0.24
AC,AC 2022 G1,SLA,17.72,0.11,17.71,17.77,2.27,642.62,25.35,0.09,-47.41,51.96,not significant,27.96,2.14,32.37,0.07
AC,AC 2022 G1,dC13,-31.29,0.01,-31.29,-31.30,0.53,21.19,4.60,0.12,-8.49,9.55,not significant,0.16,-0.09,0.61,0.87
AC,AC 2023 G1,est_fit,10.62,0.85,9.90,10.49,12.95,1232.14,35.10,0.37,-55.85,81.74,not significant,150.73,1.77,165.44,0.08
AC,AC 2023 G1,corolla_diam,19.71,0.22,19.63,19.63,0.48,47.59,6.90,0.07,-13.04,14.00,not significant,4.73,2.18,7.39,0.06
AC,AC 2023 G1,SLA,16.02,0.34,17.71,16.12,0.21,100.97,10.05,0.02,-19.49,19.90,not significant,16.84,1.82,18.87,0.01
AC,AC 2023 G1,dC13,-31.63,0.05,-31.67,-31.63,0.13,1.99,1.41,0.09,-2.64,2.89,not significant,0.44,-0.07,0.49,0.26
AC,AC 2023 G2,est_fit,10.91,0.99,11.27,10.99,0.20,3003.74,54.81,0.00,-107.23,107.62,not significant,203.09,38.50,241.79,0.00
AC,AC 2023 G2,corolla_diam,19.44,0.23,19.36,19.42,1.57,72.99,8.54,0.18,-15.18,18.31,not significant,7.47,-0.05,8.99,0.17
AC,AC 2023 G2,SLA,15.81,0.26,15.91,15.93,2.33,96.46,9.82,0.24,-16.91,21.58,not significant,7.92,-0.01,10.25,0.23
AC,AC 2023 G2,dC13,-31.64,0.05,-31.65,-31.64,-0.01,2.74,1.66,0.00,-3.25,3.24,not significant,0.50,0.00,0.50,-0.02
BB,BB 2022 G1,est_fit,4.30,0.81,4.27,4.12,3.10,301.66,17.37,0.18,-30.94,37.14,not significant,301.66,8.87,313.63,0.01
BB,BB 2022 G1,corolla_diam,22.87,0.09,22.81,22.98,1.08,23.77,4.88,0.22,-8.47,10.64,not significant,23.77,0.84,25.68,0.04
BB,BB 2022 G1,SLA,17.09,0.18,17.00,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BB,BB 2022 G1,dC13,-29.64,0.03,-29.66,-29.65,0.02,1.23,1.11,0.01,-2.16,2.19,not significant,1.23,0.19,1.44,0.01
BB,BB 2023 G1,est_fit,27.61,2.61,27.79,27.79,228.90,152243.29,390.18,0.59,-535.86,993.66,not significant,2055.76,50.73,2335.39,0.10
BB,BB 2023 G1,corolla_diam,24.99,0.24,24.95,24.97,0.75,532.47,23.08,0.03,-44.47,45.98,not significant,17.12,-0.74,17.13,0.04
BB,BB 2023 G1,SLA,17.81,0.40,17.91,17.83,4.60,1722.46,41.50,0.11,-76.75,85.94,not significant,26.28,0.70,31.58,0.15
BB,BB 2023 G1,dC13,-29.37,0.06,-29.34,-29.35,0.37,47.40,6.89,0.05,-13.12,13.87,not significant,0.88,-0.11,1.15,0.33
BB,BB 2023 G2,est_fit,32.77,4.58,33.30,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BB,BB 2023 G2,corolla_diam,26.33,0.35,26.50,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BB,BB 2023 G2,SLA,17.55,0.60,17.68,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BB,BB 2023 G2,dC13,-29.44,0.09,-29.43,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BO,BO 2022 G1,est_fit,5.05,0.66,5.21,5.28,6.39,1022.13,31.97,0.20,-56.27,69.06,not significant,183.14,3.03,192.56,0.03
BO,BO 2022 G1,corolla_diam,23.50,0.08,23.44,23.52,0.45,40.88,6.39,0.07,-12.08,12.98,not significant,13.61,0.48,14.55,0.03
BO,BO 2022 G1,SLA,15.52,0.12,15.64,15.54,1.06,93.98,9.69,0.11,-17.94,20.06,not significant,21.96,1.00,24.03,0.04
BO,BO 2022 G1,dC13,-28.31,0.03,-28.30,-28.31,0.01,4.78,2.19,0.00,-4.28,4.29,not significant,1.06,0.11,1.18,0.01
BO,BO 2023 G1,est_fit,9.14,1.31,8.93,9.21,28.15,7461.17,86.38,0.33,-141.15,197.45,not significant,210.63,7.61,246.39,0.11
BO,BO 2023 G1,corolla_diam,24.52,0.46,24.62,24.56,12.87,544.84,23.34,0.55,-32.88,58.62,not significant,9.12,0.37,22.36,0.58
BO,BO 2023 G1,SLA,15.82,0.94,16.15,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BO,BO 2023 G1,dC13,-29.32,0.10,-29.35,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BO,BO 2023 G2,est_fit,6.60,1.14,6.41,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BO,BO 2023 G2,corolla_diam,24.06,0.49,23.85,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BO,BO 2023 G2,SLA,15.55,0.48,15.78,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
BO,BO 2023 G2,dC13,-29.39,0.11,-29.34,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,,-,-,-,-
